Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;22.22;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;1-1;Pourcentage d'âge du quartier Centre Ville‑Varenne (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;16.67;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;2-2;Pourcentage d'âge du quartier Centre Ville‑Varenne (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;15.56;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;3-3;Pourcentage d'âge du quartier Centre Ville‑Varenne (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;22.22;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;4-4;Pourcentage d'âge du quartier Centre Ville‑Varenne (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;23.33;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;5-5;Pourcentage d'âge du quartier Centre Ville‑Varenne (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Gender;Male;47.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Pourcentage de males dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Centre Ville-Varenne (données quartier non disponibles).
Gender;Female;52.9;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Pourcentage de females dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Centre Ville-Varenne (données quartier non disponibles).
Gender;Other;0;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;9;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;1-1;Agrégation de 'Sans diplôme ou CEP' (6 %) et 'Brevet' (3 %) pour correspondre à la catégorie, tel que publié.
Education;Vocational Certificate;19;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;2-2;Correspond à 'CAP-BEP ou équivalent' (19 %), tel que publié.
Education;High School Diploma;24;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;3-3;Correspond à 'BAC ou équivalent' (24 %), tel que publié.
