Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;21.69;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;1-1;Pourcentage d'âge du quartier Clermont (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;18.07;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;2-2;Pourcentage d'âge du quartier Clermont (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;22.89;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;3-3;Pourcentage d'âge du quartier Clermont (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;21.69;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;4-4;Pourcentage d'âge du quartier Clermont (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;15.66;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;5-5;Pourcentage d'âge du quartier Clermont (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Gender;Male;47.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Pourcentage de males dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Clermont (données quartier non disponibles).
Gender;Female;52.9;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Pourcentage de females dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Clermont (données quartier non disponibles).
Gender;Other;0;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;20;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;1-1;Agrégation de 'Sans diplôme ou CEP' (15 %) et 'Brevet' (5 %) pour correspondre à la catégorie, tel que publié.
Education;Vocational Certificate;30;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;2-2;Correspond à 'CAP-BEP ou équivalent' (30 %), tel que publié.
Education;High School Diploma;18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;3-3;Correspond à 'BAC ou équivalent' (18 %), tel que publié.
Education;Associate Degree;14;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;4-4;Correspond à 'BAC+2' (14 %), tel que publié.
Education;Bachelor's degree or higher;18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;5-5;Agrégation de 'BAC+3 ou +4' (9 %) et 'BAC+5 ou plus' (9 %) pour correspondre à la catégorie, tel que publié.
Income;Under 25000 €;70;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;1-1;Approximation basée sur le revenu moyen par habitant (16 005 €/an), inférieur à la moyenne nationale (20 590 €/an) et au médian communal (18 930 € par UC), avec une part plus élevée sous 25 000 € en raison du revenu moyen bas.
Income;25 000-49 999 €;20;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;2-2;Approximation basée sur la distribution pour le quartier Clermont.
Income;50 000-74 999 €;7;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;3-3;Approximation basée sur la distribution pour le quartier Clermont.
Income;75 000-99 999 EUR;2;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;4-4;Approximation basée sur la distribution pour le quartier Clermont.
Income;≥ 100000 €;1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;5-5;Approximation basée sur la distribution pour le quartier Clermont.
Place of residence;Urban;100;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;1-1;Quartier urbain dans la ville de Roanne.
Place of residence;Rural;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;2-2;Quartier urbain, pas de population rurale.
MaritalStatus;Single;45.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Agrégation de 'Single' (35.7 %) et 'Cohabiting/union libre' (9.4 %) pour correspondre à la catégorie, utilisé comme proxy pour le quartier Clermont.
MaritalStatus;Married/Civil Union;35.2;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Agrégation de 'Married' (31.2 %) et 'PACSé' (4.0 %) pour correspondre à la catégorie, utilisé comme proxy pour le quartier Clermont.
MaritalStatus;Divorced/Separated;10.4;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Correspond à 'Divorced' (10.4 %), utilisé comme proxy pour le quartier Clermont.
MaritalStatus;Widowed;9.3;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;4-4;Correspond à 'Widowed' (9.3 %), utilisé comme proxy pour le quartier Clermont.
Householdsize;1 person;53;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;1-1;Correspond à 'Personnes seules' (53 %), tel que publié.
Householdsize;2 people;19;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;2-2;Correspond à 'Couples sans enfant' (19 %), approximation pour la catégorie.
Householdsize;3 or more people;28;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Clermont);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-clermont/;3-3;Agrégation de 'Couples avec enfant(s)' (17 %), 'Familles monoparentales' (10 %) et 'Colocation / Autre' (1 %) pour correspondre à la catégorie.
Nationality;French;93;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;1-1;Approximation basée sur les données de l'arrondissement de Roanne (proxy pour le quartier, données précises non disponibles, assumant 7% étrangers basé sur tendances régionales).
Nationality;Foreign (Europe);2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;2-2;Approximation basée sur la distribution typique des immigrés en France (30% Europe), adaptée à l'arrondissement.
