Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;16.67;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;1-1;Pourcentage d'âge du quartier Fontquentin (INSEE RP 2020 via Bien‑dans‑ma‑ville). Normalisé à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;14.29;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;2-2;Pourcentage d'âge du quartier Fontquentin (INSEE RP 2020 via Bien‑dans‑ma‑ville). Normalisé à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;19.05;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;3-3;Pourcentage d'âge du quartier Fontquentin (INSEE RP 2020 via Bien‑dans‑ma‑ville). Normalisé à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;28.56;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;4-4;Pourcentage d'âge du quartier Fontquentin (INSEE RP 2020 via Bien‑dans‑ma‑ville). Normalisé à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;21.43;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;5-5;Pourcentage d'âge du quartier Fontquentin (INSEE RP 2020 via Bien‑dans‑ma‑ville). Normalisé à 100.00 % en ignorant 0‑14 ans.
Gender;Male;47.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Pourcentage de males dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Fontquentin (données quartier non disponibles).
Gender;Female;52.9;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Pourcentage de females dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Fontquentin (données quartier non disponibles).
Gender;Other;0;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;60;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;1-1;Agrégation de 'Sans diplôme ou CEP' (20 %) et 'Brevet, BEPC, DNB' (40 %) pour correspondre à la catégorie, tel que publié.
Education;Vocational Certificate;20;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;2-2;Correspond à 'CAP-BEP ou équivalent' (20 %), tel que publié.
Education;High School Diploma;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;3-3;Correspond à 'BAC ou équivalent' (0 %), tel que publié.
Education;Associate Degree;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;4-4;Correspond à 'BAC+2' (0 %), tel que publié.
Education;Bachelor's degree or higher;20;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;5-5;Agrégation de 'BAC+3 ou +4' (20 %) et 'BAC+5 ou plus' (0 %) pour correspondre à la catégorie, tel que publié.
Income;Under 25000 €;80;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;1-1;Approximation basée sur le revenu moyen annuel (11 470 € par habitant), plus bas que la moyenne communale, indiquant une proportion élevée sous 25 000 € (proxy ajusté pour quartier pauvre).
Income;25 000-49 999 €;15;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;2-2;Approximation basée sur la distribution pour le quartier Fontquentin.
Income;50 000-74 999 €;3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;3-3;Approximation basée sur la distribution pour le quartier Fontquentin.
Income;75 000-99 999 EUR;1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;4-4;Approximation basée sur la distribution pour le quartier Fontquentin.
Income;≥ 100000 €;1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;5-5;Approximation basée sur la distribution pour le quartier Fontquentin.
Place of residence;Urban;100;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;1-1;Quartier urbain dans la ville de Roanne, densité de 1 395 habitants/km².
Place of residence;Rural;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;2-2;Quartier urbain, pas de population rurale.
MaritalStatus;Single;45.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Agrégation de 'Single' et 'Cohabiting/union libre' pour correspondre à la catégorie, utilisé comme proxy pour le quartier Fontquentin.
MaritalStatus;Married/Civil Union;35.2;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Agrégation de 'Married' et 'PACSé' pour correspondre à la catégorie, utilisé comme proxy pour le quartier Fontquentin.
MaritalStatus;Divorced/Separated;10.4;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Correspond à 'Divorced', utilisé comme proxy pour le quartier Fontquentin.
MaritalStatus;Widowed;9.3;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;4-4;Correspond à 'Widowed', utilisé comme proxy pour le quartier Fontquentin.
Householdsize;1 person;50;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Approximation basée sur les données communales, utilisé comme proxy pour le quartier Fontquentin (données spécifiques non disponibles).
Householdsize;2 people;30;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Approximation basée sur les données communales, utilisé comme proxy pour le quartier Fontquentin (données spécifiques non disponibles).
Householdsize;3 or more people;20;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Approximation basée sur les données communales, utilisé comme proxy pour le quartier Fontquentin (données spécifiques non disponibles).
Nationality;French;93;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;1-1;Approximation basée sur les données de l'arrondissement de Roanne (proxy pour le quartier, données précises non disponibles).
Nationality;Foreign (Europe);2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;2-2;Approximation basée sur la distribution typique des immigrés en France, adaptée à l'arrondissement.
Nationality;Foreign (Africa);3;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;3-3;Approximation basée sur la distribution typique des immigrés en France, adaptée à l'arrondissement.
Nationality;Non-citizen (other regions);2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;4-4;Approximation basée sur la distribution typique des immigrés en France, adaptée à l'arrondissement.
Occupation;Farmers;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;1-1;Pourcentage d'agriculteurs, tel que publié.
Occupation;Artisans/Traders;2.4;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;2-2;Pourcentage d'artisans et commerçants, tel que publié.
Occupation;Professionals/Intellectuals;2.4;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;3-3;Correspond à 'Cadres et supérieurs' (2 %), tel que publié.
Occupation;Intermediate occupations;7.1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;4-4;Correspond à 'Professions intermédiaires' (6 %), tel que publié.
Occupation;Employees;14.1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;5-5;Correspond à 'Employés' (12 %), tel que publié.
Occupation;Laborers;10.6;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;6-6;Correspond à 'Ouvriers' (9 %), tel que publié.
Occupation;Unemployed;5;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;7-7;Pourcentage de chômeurs, basé sur taux de chômage 9.5% de la population active (35%), soit environ 3.3% (normalisé).
Occupation;Retired;43.5;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;8-8;Correspond à 'Retraités' (37 %), tel que publié (normalisé).
Occupation;Inactive;15.3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Fontquentin);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-fontquentin/;9-9;Le restant de 'Autres' après soustraction des chômeurs, soit environ 13.7% (normalisé).
Ideology;Left;31;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;1-1;Approximation basée sur la somme des votes pour les candidats de gauche au 1er tour, utilisé comme proxy pour le quartier Fontquentin.
Ideology;Central;29;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;2-2;Correspond aux votes pour Macron, utilisé comme proxy pour l'idéologie centrale dans le quartier Fontquentin.
Ideology;Right;36;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;3-3;Approximation basée sur la somme des votes pour les candidats de droite au 1er tour, utilisé comme proxy pour le quartier Fontquentin.
Ideology;Non-ideological;4;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;4-4;Approximation basée sur les votes pour Lassalle et votes blancs/nuls, utilisé comme proxy pour le quartier Fontquentin.
Ethnicity;No migration background;90;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;1-1;Approximation basée sur les données d'immigration de l'arrondissement de Roanne (proxy pour le quartier).
Ethnicity;Origin Europe;3;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;2-2;Approximation basée sur la distribution des origines immigrées.
Ethnicity;African Origin;5;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;3-3;Approximation basée sur la distribution des origines immigrées.
Ethnicity;Origin other regions;2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;4-4;Approximation basée sur la distribution des origines immigrées.
MBTI;ISTJ;12.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;1-1;Proxy basé sur estimations typiques de distribution MBTI (moyenne des fourchettes US ajustée, pas de données spécifiques à la France ou au quartier).
MBTI;ISFJ;11.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;2-2;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INFJ;2;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;3-3;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INTJ;3;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;4-4;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ISTP;5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;5-5;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ISFP;7;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;6-6;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INFP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;7-7;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INTP;4;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;8-8;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;9-9;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESFP;6.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;10-10;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENFP;7;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;11-11;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;12-12;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESTJ;10;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;13-13;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESFJ;11;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;14-14;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENFJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;15-15;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENTJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;16-16;Proxy basé sur estimations typiques de distribution MBTI.
