Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;28.41;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;1-1;Pourcentage d'âge du quartier Gare (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;18.18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;2-2;Pourcentage d'âge du quartier Gare (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;18.18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;3-3;Pourcentage d'âge du quartier Gare (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;18.18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;4-4;Pourcentage d'âge du quartier Gare (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;17.05;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;5-5;Pourcentage d'âge du quartier Gare (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Gender;Male;47.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Pourcentage de males dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Gare (données quartier non disponibles).
Gender;Female;52.9;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Pourcentage de females dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Gare (données quartier non disponibles).
Gender;Other;0;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;11;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;1-1;Agrégation de 'Sans diplôme ou CEP' (8 %) et 'Brevet' (3 %) pour correspondre à la catégorie, tel que publié.
Education;Vocational Certificate;20.6;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;2-2;Correspond à 'CAP-BEP ou équivalent' (20 %), tel que publié.
Education;High School Diploma;24;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;3-3;Correspond à 'BAC ou équivalent' (24 %), tel que publié.
Education;Associate Degree;16.4;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;4-4;Correspond à 'BAC+2' (16 %), tel que publié.
Education;Bachelor's degree or higher;28;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;5-5;Agrégation de 'BAC+3 ou +4' (14 %) et 'BAC+5 ou plus' (14 %) pour correspondre à la catégorie, tel que publié.
Income;Under 25000 €;60;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;1-1;Approximation basée sur le revenu moyen par habitant (19 070 €/an), en dessous de la moyenne nationale (20 590 €), ajusté par rapport au médian communal avec une part élevée sous 25 000 €.
Income;25 000-49 999 €;25;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;2-2;Approximation basée sur la distribution pour le quartier Gare.
Income;50 000-74 999 €;10;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;3-3;Approximation basée sur la distribution pour le quartier Gare.
Income;75 000-99 999 EUR;3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;4-4;Approximation basée sur la distribution pour le quartier Gare.
Income;≥ 100000 €;2;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;5-5;Approximation basée sur la distribution pour le quartier Gare.
Place of residence;Urban;100;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;1-1;Quartier urbain dans la ville de Roanne, densité de 4 415 habitants/km².
Place of residence;Rural;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;2-2;Quartier urbain, pas de population rurale.
MaritalStatus;Single;45.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Agrégation de 'Single' et 'Cohabiting/union libre' pour correspondre à la catégorie, utilisé comme proxy pour le quartier Gare.
MaritalStatus;Married/Civil Union;35.2;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Agrégation de 'Married' et 'PACSé' pour correspondre à la catégorie, utilisé comme proxy pour le quartier Gare.
MaritalStatus;Divorced/Separated;10.4;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Correspond à 'Divorced', utilisé comme proxy pour le quartier Gare.
MaritalStatus;Widowed;9.3;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;4-4;Correspond à 'Widowed', utilisé comme proxy pour le quartier Gare.
Householdsize;1 person;61;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;1-1;Correspond à 'Personnes seules' (61 %), tel que publié.
Householdsize;2 people;18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;2-2;Correspond à 'Couples sans enfant' (18 %), approximation pour la catégorie.
Householdsize;3 or more people;21;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;3-3;Agrégation de 'Couples avec enfant(s)' (10 %), 'Familles monoparentales' (9 %) et 'Colocation / Autre' (2 %) pour correspondre à la catégorie.
Nationality;French;93;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;1-1;Approximation basée sur les données de l'arrondissement de Roanne (proxy pour le quartier, données précises non disponibles, assumant 7% étrangers basé sur tendances régionales).
Nationality;Foreign (Europe);2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;2-2;Approximation basée sur la distribution typique des immigrés en France (30% Europe), adaptée à l'arrondissement.
Nationality;Foreign (Africa);3;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;3-3;Approximation basée sur la distribution typique des immigrés en France (37% Afrique), adaptée à l'arrondissement.
