Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;19.77;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;1-1;Pourcentage d'âge du quartier Halage (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;16.28;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;2-2;Pourcentage d'âge du quartier Halage (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;23.25;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;3-3;Pourcentage d'âge du quartier Halage (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;19.77;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;4-4;Pourcentage d'âge du quartier Halage (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;20.93;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;5-5;Pourcentage d'âge du quartier Halage (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Gender;Male;47.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Pourcentage de males dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Halage (données quartier non disponibles).
Gender;Female;52.9;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Pourcentage de females dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Halage (données quartier non disponibles).
Gender;Other;0;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;15;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;1-1;Agrégation de 'Sans diplôme ou CEP' (11 %) et 'Brevet' (4 %) pour correspondre à la catégorie, tel que publié.
Education;Vocational Certificate;24;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;2-2;Correspond à 'CAP-BEP ou équivalent' (24 %), tel que publié.
Education;High School Diploma;22;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;3-3;Correspond à 'BAC ou équivalent' (22 %), tel que publié.
Education;Associate Degree;16;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;4-4;Correspond à 'BAC+2' (16 %), tel que publié.
Education;Bachelor's degree or higher;23;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;5-5;Agrégation de 'BAC+3 ou +4' (12 %) et 'BAC+5 ou plus' (11 %) pour correspondre à la catégorie, tel que publié.
Income;Under 25000 €;55;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;1-1;Approximation basée sur le revenu moyen par habitant (20 300 €/an), proche de la moyenne nationale, ajusté par rapport au médian communal avec une part modérée sous 25 000 €.
Income;25 000-49 999 €;30;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;2-2;Approximation basée sur la distribution pour le quartier Halage.
Income;50 000-74 999 €;10;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;3-3;Approximation basée sur la distribution pour le quartier Halage.
Income;75 000-99 999 EUR;3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;4-4;Approximation basée sur la distribution pour le quartier Halage.
Income;≥ 100000 €;2;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Halage);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-halage/;5-5;Approximation basée sur la distribution pour le quartier Halage.
