Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;21.43;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;1-1;Pourcentage d'âge du quartier Mulsant (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;17.86;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;2-2;Pourcentage d'âge du quartier Mulsant (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;22.62;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;3-3;Pourcentage d'âge du quartier Mulsant (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;23.8;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;4-4;Pourcentage d'âge du quartier Mulsant (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;14.29;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;5-5;Pourcentage d'âge du quartier Mulsant (INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisé à 100.00 % en ignorant 0‑14 ans.
Gender;Male;47.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Pourcentage de males dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Mulsant (données quartier non disponibles).
Gender;Female;52.9;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Pourcentage de females dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Mulsant (données quartier non disponibles).
Gender;Other;0;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;1-1;Agrégation de 'Sans diplôme ou CEP' (14 %) et 'Brevet' (5 %) pour correspondre à la catégorie, tel que publié.
Education;Vocational Certificate;26;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;2-2;Correspond à 'CAP-BEP ou équivalent' (26 %), tel que publié.
Education;High School Diploma;24;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;3-3;Correspond à 'BAC ou équivalent' (24 %), tel que publié.
Education;Associate Degree;12;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;4-4;Correspond à 'BAC+2' (12 %), tel que publié.
Education;Bachelor's degree or higher;20;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;5-5;Agrégation de 'BAC+3 ou +4' (11 %) et 'BAC+5 ou plus' (9 %) pour correspondre à la catégorie, tel que publié.
Income;Under 25000 €;65;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;1-1;Approximation basée sur le revenu moyen par habitant (16 340 €/an), inférieur à la moyenne nationale (20 590 €/an), ajusté par rapport au médian communal avec une part élevée sous 25 000 €.
Income;25 000-49 999 €;25;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;2-2;Approximation basée sur la distribution pour le quartier Mulsant.
Income;50 000-74 999 €;7;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;3-3;Approximation basée sur la distribution pour le quartier Mulsant.
Income;75 000-99 999 EUR;2;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;4-4;Approximation basée sur la distribution pour le quartier Mulsant.
Income;≥ 100000 €;1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Mulsant);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-mulsant/;5-5;Approximation basée sur la distribution pour le quartier Mulsant.
