Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Age;15-29 years;22.89;INSEE – Recensement de la population (RP) 2020, parution 2023 (Roanne – commune, page ville);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/;1-1;Faute de statistiques publiques par quartier pour Saint‑Clair accessibles en ligne, utilisation des pourcentages municipaux (Roanne, INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisés à 100.00 % en ignorant 0‑14 ans.
Age;30-44 years old;18.07;INSEE – Recensement de la population (RP) 2020, parution 2023 (Roanne – commune, page ville);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/;2-2;Faute de statistiques publiques par quartier pour Saint‑Clair accessibles en ligne, utilisation des pourcentages municipaux (Roanne, INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisés à 100.00 % en ignorant 0‑14 ans.
Age;45-59 years;20.48;INSEE – Recensement de la population (RP) 2020, parution 2023 (Roanne – commune, page ville);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/;3-3;Faute de statistiques publiques par quartier pour Saint‑Clair accessibles en ligne, utilisation des pourcentages municipaux (Roanne, INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisés à 100.00 % en ignorant 0‑14 ans.
Age;60-74 years;21.69;INSEE – Recensement de la population (RP) 2020, parution 2023 (Roanne – commune, page ville);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/;4-4;Faute de statistiques publiques par quartier pour Saint‑Clair accessibles en ligne, utilisation des pourcentages municipaux (Roanne, INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisés à 100.00 % en ignorant 0‑14 ans.
Age;75 years and older;16.87;INSEE – Recensement de la population (RP) 2020, parution 2023 (Roanne – commune, page ville);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/;5-5;Faute de statistiques publiques par quartier pour Saint‑Clair accessibles en ligne, utilisation des pourcentages municipaux (Roanne, INSEE RP 2020 via Bien‑dans‑ma‑ville), normalisés à 100.00 % en ignorant 0‑14 ans.
Gender;Male;46;INSEE – Recensement de la population (RP) 2010;local stat;https://auvergne-rhone-alpes.dreets.gouv.fr/sites/auvergne-rhone-alpes.dreets.gouv.fr/IMG/pdf/42_qp042019_mayollet.pdf;1-1;Pourcentage de males dans la population du QPV Mayollet-Saint-Clair (calculé comme 100% - part des femmes 54%), tel que publié (RP 2010).
Gender;Female;54;INSEE – Recensement de la population (RP) 2010;local stat;https://auvergne-rhone-alpes.dreets.gouv.fr/sites/auvergne-rhone-alpes.dreets.gouv.fr/IMG/pdf/42_qp042019_mayollet.pdf;2-2;Part des femmes dans la population du QPV Mayollet-Saint-Clair (54%), tel que publié (RP 2010).
Gender;Other;0;INSEE – Recensement de la population (RP) 2010;local stat;https://auvergne-rhone-alpes.dreets.gouv.fr/sites/auvergne-rhone-alpes.dreets.gouv.fr/IMG/pdf/42_qp042019_mayollet.pdf;3-3;Assumé 0 % car non répertorié dans les catégories INSEE (genre binaire uniquement).
Education;No diploma or CEP;34;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Agrégation de 'No diploma or primary school certificate' (28.5 %) et 'BEPC, brevet des collèges' (5.5 %) pour correspondre à la catégorie, utilisé comme proxy pour le quartier Saint-Clair (données quartier non disponibles).
Education;Vocational Certificate;25.8;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Correspond à 'CAP, BEP or equivalent' (25.8 %), utilisé comme proxy pour le quartier Saint-Clair (données quartier non disponibles).
Education;High School Diploma;16.8;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Correspond à 'Baccalauréat, brevet professionnel or equivalent' (16.8 %), utilisé comme proxy pour le quartier Saint-Clair (données quartier non disponibles).
Education;Associate Degree;8.8;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;4-4;Correspond à 'Higher education diploma at bac +2 level' (8.8 %), utilisé comme proxy pour le quartier Saint-Clair (données quartier non disponibles).
Education;Bachelor's degree or higher;14.5;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;5-5;Agrégation de 'bac +3 or bac +4 level' (7.8 %) et 'bac +5 or higher level' (6.7 %) pour correspondre à la catégorie, utilisé comme proxy pour le quartier Saint-Clair (données quartier non disponibles).
Income;Under 25000 €;70;Filosofi 2015;local stat;https://auvergne-rhone-alpes.dreets.gouv.fr/sites/auvergne-rhone-alpes.dreets.gouv.fr/IMG/pdf/42_qp042019_mayollet.pdf;1-1;Approximation basée sur le médian des revenus disponibles par UC (12 070 €), 1er quartile (9 463 €), 3e quartile (16 638 €), ajusté pour une proportion élevée sous 25 000 € dans le QPV Mayollet-Saint-Clair (Filosofi 2015, DGFiP-Cnaf-Cnav/INSEE).
Income;25 000-49 999 €;20;Filosofi 2015;local stat;https://auvergne-rhone-alpes.dreets.gouv.fr/sites/auvergne-rhone-alpes.dreets.gouv.fr/IMG/pdf/42_qp042019_mayollet.pdf;2-2;Approximation basée sur la distribution des revenus et l'écart inter-quartile (7 175 €) pour le QPV Mayollet-Saint-Clair (Filosofi 2015).
Income;50 000-74 999 €;6;Filosofi 2015;local stat;https://auvergne-rhone-alpes.dreets.gouv.fr/sites/auvergne-rhone-alpes.dreets.gouv.fr/IMG/pdf/42_qp042019_mayollet.pdf;3-3;Approximation basée sur la distribution des revenus pour le QPV Mayollet-Saint-Clair (Filosofi 2015).
