Characteristic;Category;Distribution;Dataset;Scope;URL;Index
Age;15-29 years;13.4;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;1-1
Age;30-44 years old;14.7;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;2-2
Age;45-59 years;18.2;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;3-3
Age;60-74 years;21.5;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;4-4
Age;75 years and older;17.0;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;5-5
Gender;Male;49.18;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;1-1
Gender;Woman;50.82;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;2-2
Gender;Other;0.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;3-3
Education;No diploma or CEP;34.77;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;1-1
Education;Vocational Certificate;30.37;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;2-2
Education;High School Diploma;16.78;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;3-3
Education;Associate Degree;8.79;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;4-4
Education;Bachelor's degree or higher;9.29;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;5-5
Income;Under 25000 €;52.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/7756855;1-1
Income;25 000-49 999 €;31.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/7756855;2-2
Income;50 000-74 999 €;9.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/7756855;3-3
Income;75 000-99 999 EUR;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/7756855;4-4
Income;≥ 100000 €;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/7756855;5-5
Place of residence;Urban;100.0;INSEE – Unité urbaine 2020 de Cours (ville isolée);commune;https://www.insee.fr/fr/metadonnees/geographie/unite-urbaine-2020/69108-cours;1-1
Place of residence;Rural;0.0;INSEE – Unité urbaine 2020 de Cours (ville isolée);commune;https://www.insee.fr/fr/metadonnees/geographie/unite-urbaine-2020/69108-cours;2-2
MaritalStatus;Single;35.74;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;1-1
MaritalStatus;Married/Civil Union;47.25;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;2-2
MaritalStatus;Divorced/Separated;7.11;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;3-3
MaritalStatus;Widowed;9.91;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;4-4
Householdsize;1 person;40.8;INSEE – RP2022 (FAM T1) + répartition AURA (comparaisons régionales);communal + regional proxy;https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;1-1
Householdsize;2 people;31.1;INSEE – RP2022 (FAM T1) + répartition AURA (comparaisons régionales);communal + regional proxy;https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;2-2
Householdsize;3 or more people;28.1;INSEE – RP2022 (FAM T1) + répartition AURA (comparaisons régionales);communal + regional proxy;https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;3-3
Nationality;French;91.2;INSEE – Étrangers par groupe de nationalités (ordre de grandeur national);national;https://www.insee.fr/fr/statistiques/3353438;1-1
Nationality;Foreign (Europe);3.11;INSEE – Étrangers par groupe de nationalités (ordre de grandeur national);national;https://www.insee.fr/fr/statistiques/3353438;2-2
Nationality;Foreign (Africa);4.04;INSEE – Étrangers par groupe de nationalités (ordre de grandeur national);national;https://www.insee.fr/fr/statistiques/3353438;3-3
Nationality;Non-citizen (other regions);1.65;INSEE – Étrangers par groupe de nationalités (ordre de grandeur national);national;https://www.insee.fr/fr/statistiques/3353438;4-4
Occupation;Farmers;0.4;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;1-1
Occupation;Artisans/Traders;3.8;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;2-2
Occupation;Professionals/Intellectuals;4.3;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;3-3
Occupation;Intermediate occupations;7.8;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;4-4
Occupation;Employees;15.5;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;5-5
Occupation;Laborers;17.5;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;6-6
Occupation;Unemployed;0.0;INSEE – RP2022 (POP T5);see note;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;7-7
Occupation;Retired;39.5;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;8-8
Occupation;Inactive ;11.2;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-69066;9-9
Ideology;Left;35.4;Présidentielle 2022 (1er tour, Rhône) – Agrégation blocs;département (proxy pour la commune);https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/084/069/index.php;1-1
Ideology;Central;30.6;Présidentielle 2022 (1er tour, Rhône) – Agrégation blocs;département (proxy pour la commune);https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/084/069/index.php;2-2
Ideology;Right;32.1;Présidentielle 2022 (1er tour, Rhône) – Agrégation blocs;département (proxy pour la commune);https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/084/069/index.php;3-3
Ideology;Non-ideological;1.9;Présidentielle 2022 (1er tour, Rhône) – Agrégation blocs;département (proxy pour la commune);https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/084/069/index.php;4-4
Ethnicity;No migration background;82.0;INSEE – Population selon le pays de naissance des parents (ordre de grandeur national 2021);national;https://www.insee.fr/fr/statistiques/6524902;1-1
Ethnicity;Origin Europe;5.0;INSEE – Population selon le pays de naissance des parents (ordre de grandeur national 2021);national;https://www.insee.fr/fr/statistiques/6524902;2-2
Ethnicity;African Origin;9.0;INSEE – Population selon le pays de naissance des parents (ordre de grandeur national 2021);national;https://www.insee.fr/fr/statistiques/6524902;3-3
Ethnicity;Origin other regions;4.0;INSEE – Population selon le pays de naissance des parents (ordre de grandeur national 2021);national;https://www.insee.fr/fr/statistiques/6524902;4-4
MBTI;ISTJ;12.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;1-1
MBTI;ISFJ;11.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;2-2
