Characteristic;Category;Distribution;Dataset;Scope;URL;Index
Age;15-29 years;18.89;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;1-1
Age;30-44 years old;22.22;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;2-2
Age;45-59 years;23.33;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;3-3
Age;60-74 years;21.11;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;4-4
Age;75 years and older;14.44;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;5-5
Gender;Male;47.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;1-1
Gender;Woman;53.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;2-2
Gender;Other;0.0;Non défini par l'INSEE (binaire seulement). Valeur mise à 0 pour sommer à 100.;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;3-3
Education;No diploma or CEP;28.0;INSEE – RP2022 (FOR T2);département (proxy si non dispo communal);https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;1-1
Education;Vocational Certificate;31.0;INSEE – RP2022 (FOR T2);département (proxy si non dispo communal);https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;2-2
Education;High School Diploma;17.0;INSEE – RP2022 (FOR T2);département (proxy si non dispo communal);https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;3-3
Education;Associate Degree;11.0;INSEE – RP2022 (FOR T2);département (proxy si non dispo communal);https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;4-4
Education;Bachelor's degree or higher;13.0;INSEE – RP2022 (FOR T2);département (proxy si non dispo communal);https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;5-5
Income;Under 25000 €;52.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;1-1
Income;25 000-49 999 €;31.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;2-2
Income;50 000-74 999 €;9.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;3-3
Income;75 000-99 999 EUR;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;4-4
Income;≥ 100000 €;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;5-5
Place of residence;Urban;100.0;INSEE – Unité urbaine 2020 de Montbrison;commune;https://www.insee.fr/fr/metadonnees/geographie/unite-urbaine-2020/42401-montbrison;1-1
Place of residence;Rural;0.0;INSEE – Unité urbaine 2020 de Montbrison;commune;https://www.insee.fr/fr/metadonnees/geographie/unite-urbaine-2020/42401-montbrison;2-2
MaritalStatus;Single;31.0;INSEE – RP2022 (FAM G4);département (proxy si non dispo communal);https://www.insee.fr/fr/statistiques/2011101?geo=COM-42147;1-1
