Characteristic;Category;Distribution;Dataset;Scope;URL;Index
Age;15-29 years;12.5;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;1-1
Age;30-44 years old;15.0;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;2-2
Age;45-59 years;20.0;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;3-3
Age;60-74 years;23.0;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;4-4
Age;75 years and older;29.5;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;5-5
Gender;Male;48.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;1-1
Gender;Woman;52.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;2-2
Gender;Other;0.0;Non défini par l'INSEE (binaire seulement). Valeur mise à 0 pour sommer à 100.;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;3-3
Education;No diploma or CEP (incl. BEPC);28.0;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;1-1
Education;Vocational Certificate (CAP/BEP);31.0;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;2-2
Education;High School Diploma;16.0;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;3-3
Education;Associate Degree (bac+2);11.0;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;4-4
Education;Bachelor's degree or higher;14.0;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;5-5
Income;Under 25000 €;52.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;1-1
Income;25 000-49 999 €;31.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;2-2
Income;50 000-74 999 €;9.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;3-3
Income;75 000-99 999 EUR;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;4-4
Income;≥ 100000 €;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;5-5
Place of residence;Urban;0.0;INSEE – Fiche géo (commune hors unité urbaine) ;commune;https://fr.wikipedia.org/wiki/Perreux_(Loire)#G%C3%A9ographie;1-1
Place of residence;Rural;100.0;INSEE – Fiche géo (commune hors unité urbaine) ;commune;https://fr.wikipedia.org/wiki/Perreux_(Loire)#G%C3%A9ographie;2-2
MaritalStatus;Single;30.0;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;1-1
MaritalStatus;Married/Civil Union;53.0;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;2-2
MaritalStatus;Divorced/Separated;8.0;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;3-3
MaritalStatus;Widowed;9.0;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;4-4
Householdsize;1 person;33.0;INSEE – RP2022 (FAM T1);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;1-1
Householdsize;2 people;35.20;INSEE – RP2022 (Comparaisons régionales Auvergne–Rhône–Alpes appliquées au reliquat);régional (répartition appliquée localement);https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;2-2
Householdsize;3 or more people;31.80;INSEE – RP2022 (Comparaisons régionales Auvergne–Rhône–Alpes appliquées au reliquat);régional (répartition appliquée localement);https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;3-3
Nationality;French;91.2;INSEE – Étrangers par groupe de nationalités (2024) + hypothèse part d'étrangers France;national;https://www.insee.fr/fr/statistiques/3353438;1-1
Nationality;Foreign (Europe);3.11;INSEE – Étrangers par groupe de nationalités (2024);national;https://www.insee.fr/fr/statistiques/3353438;2-2
Nationality;Foreign (Africa);4.04;INSEE – Étrangers par groupe de nationalités (2024);national;https://www.insee.fr/fr/statistiques/3353438;3-3
Nationality;Non-citizen (other regions);1.66;INSEE – Étrangers par groupe de nationalités (2024);national;https://www.insee.fr/fr/statistiques/3353438;4-4
Occupation;Farmers;0.7;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;1-1
Occupation;Craftspeople/Shopkeepers/Business Heads;3.5;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;2-2
Occupation;Executives/Intellectual professions;6.0;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;3-3
Occupation;Intermediate professions;12.0;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;4-4
Occupation;Employees;15.0;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;5-5
Occupation;Workers;13.0;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;6-6
Occupation;Retired;40.0;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;7-7
Occupation;Inactive;9.8;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42170;8-8
Ideology;Left;24.9;Présidentielle 2022 (1er tour, Perreux) – agrégation blocs (LFI+EELV+PCF+PS+NPA+LO);commune;https://election-presidentielle.linternaute.com/resultats/perreux/ville-42170/;1-1
Ideology;Central;28.0;Présidentielle 2022 (1er tour, Perreux) – Emmanuel Macron;commune;https://election-presidentielle.linternaute.com/resultats/perreux/ville-42170/;2-2
