Characteristic;Category;Distribution;Dataset;Scope;URL;Index
Age;15-29 years;13.0;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;1-1
Age;30-44 years old;16.0;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;2-2
Age;45-59 years;19.8;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;3-3
Age;60-74 years;20.1;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;4-4
Age;75 years and older;14.2;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;5-5
Gender;Male;46.26;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;1-1
Gender;Woman;53.74;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;2-2
Gender;Other;0.00;Non défini par l'INSEE (binaire seulement). Valeur mise à 0 pour sommer à 100.;commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;3-3
Education;No diploma or CEP (incl. BEPC);24.9;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;1-1
Education;Vocational Certificate (CAP/BEP);30.2;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;2-2
Education;High School Diploma;18.1;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;3-3
Education;Associate Degree (bac+2);11.4;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;4-4
Education;Bachelor's degree or higher;15.4;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/en/statistiques/6457611?geo=COM-42184;5-5
Income;Under 25000 €;52.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;1-1
Income;25 000-49 999 €;31.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;2-2
Income;50 000-74 999 €;9.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;3-3
