Characteristic;Category;Distribution;Dataset;Scope;URL;Index
Age;15-29 years;14.11;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;1-1
Age;30-44 years old;18.00;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;2-2
Age;45-59 years;22.11;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;3-3
Age;60-74 years;23.89;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;4-4
Age;75 years and older;21.89;INSEE – RP2022 (POP G2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;5-5
Gender;Male;47.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;1-1
Gender;Woman;53.0;INSEE – RP2022 (POP T3);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;2-2
Gender;Other;0.0;Non défini par l'INSEE (binaire seulement). Valeur mise à 0 pour sommer à 100.;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;3-3
Education;No diploma or CEP (incl. BEPC);27.1;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;1-1
Education;Vocational Certificate (CAP/BEP);31.0;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;2-2
Education;High School Diploma;16.9;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;3-3
Education;Associate Degree (bac+2);10.7;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;4-4
Education;Bachelor's degree or higher;14.3;INSEE – RP2022 (FOR T2);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;5-5
Income;Under 25000 €;52.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;1-1
Income;25 000-49 999 €;31.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;2-2
Income;50 000-74 999 €;9.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;3-3
Income;75 000-99 999 EUR;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;4-4
Income;≥ 100000 €;4.0;INSEE–DGFiP FiLoSoFi 2021 (répartition RFR agrégée aux bornes demandées);national;https://www.insee.fr/fr/statistiques/6680185;5-5
Place of residence;Urban;100.0;INSEE – Unité urbaine 2020 de Roanne (Saint-Léger-sur-Roanne listée);commune;https://www.insee.fr/fr/metadonnees/geographie/commune/42253-saint-leger-sur-roanne;1-1
Place of residence;Rural;0.0;INSEE – Unité urbaine 2020 de Roanne (Saint-Léger-sur-Roanne listée);commune;https://www.insee.fr/fr/metadonnees/geographie/commune/42253-saint-leger-sur-roanne;2-2
MaritalStatus;Single;30.4;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;1-1
MaritalStatus;Married/Civil Union;51.2;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;2-2
MaritalStatus;Divorced/Separated;8.1;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;3-3
MaritalStatus;Widowed;10.3;INSEE – RP2022 (FAM G4);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;4-4
Householdsize;1 person;37.8;INSEE – RP2022 (FAM T1);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;1-1
Householdsize;2 people;32.94;INSEE – RP2022 (Comparaisons régionales Auvergne–Rhône–Alpes appliquées au reliquat);régional (répartition appliquée localement);https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;2-2
Householdsize;3 or more people;29.26;INSEE – RP2022 (Comparaisons régionales Auvergne–Rhône–Alpes appliquées au reliquat);régional (répartition appliquée localement);https://www.insee.fr/fr/statistiques/6240560?geo=REG-84;3-3
Nationality;French;91.2;INSEE – Étrangers par groupe de nationalités (2024) + hypothèse part d'étrangers France;national;https://www.insee.fr/fr/statistiques/3353438;1-1
Nationality;Foreign (Europe);3.11;INSEE – Étrangers par groupe de nationalités (2024);national;https://www.insee.fr/fr/statistiques/3353438;2-2
Nationality;Foreign (Africa);4.04;INSEE – Étrangers par groupe de nationalités (2024);national;https://www.insee.fr/fr/statistiques/3353438;3-3
Nationality;Non-citizen (other regions);1.66;INSEE – Étrangers par groupe de nationalités (2024);national;https://www.insee.fr/fr/statistiques/3353438;4-4
Occupation;Farmers;0.2;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;1-1
Occupation;Craftspeople/Shopkeepers/Business Heads;3.2;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;2-2
Occupation;Executives/Intellectual professions;6.8;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;3-3
Occupation;Intermediate professions;12.5;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;4-4
Occupation;Employees;15.6;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;5-5
Occupation;Workers;12.6;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;6-6
Occupation;Retired;38.8;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;7-7
Occupation;Inactive;10.3;INSEE – RP2022 (POP T5);commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42253;8-8
Ideology;Left;26.5;Présidentielle 2022 (1er tour) – Source secondaire (commune) ;commune;https://election-presidentielle.linternaute.com/resultats/saint-leger-sur-roanne/ville-42253;1-1
Ideology;Central;32.5;Présidentielle 2022 (1er tour) – Source secondaire (commune) ;commune;https://election-presidentielle.linternaute.com/resultats/saint-leger-sur-roanne/ville-42253;2-2
Ideology;Right;39.2;Présidentielle 2022 (1er tour) – Source secondaire (commune) ;commune;https://election-presidentielle.linternaute.com/resultats/saint-leger-sur-roanne/ville-42253;3-3
Ideology;Non-ideological;1.8;Présidentielle 2022 (1er tour) – Source secondaire (commune) ;commune;https://election-presidentielle.linternaute.com/resultats/saint-leger-sur-roanne/ville-42253;4-4
Ethnicity;No migration background;82.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;1-1
Ethnicity;Origin Europe;5.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;2-2
Ethnicity;African Origin;9.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;3-3
Ethnicity;Origin other regions;4.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;4-4
MBTI;ISTJ;12.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;1-1
